"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","FGM","FGA","3PTM","FTM","FTA","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","1","CCC","29","@LAL Sat 5:30PM","3652","65.21","100%","1.06","100%","0%","10.3","17.6","1.1","4.5","5.6","26.1","12.3","9.3","1.2","0.9","2.9","0.3","47"
"*031m2*","Giannis Antetokounmpo","MIL","PF,F,C,Flx","2","BBB","29","","3379","60.34","100%","6.21","100%","0%","11.5","18.7","0.5","7.3","11.1","30.8","11.3","6.4","1.3","1.1","3.5","0.1","45"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,SG,G,Flx","4","HBC","25","","3371","60.2","100%","4.96","100%","0%","11.0","20.0","1.3","7.9","9.0","31.2","5.5","6.6","2.1","0.9","2.2","0.0","7"
"*04kj6*","Luka Doncic","DAL","PG,G,Flx","3","STARKS","25","","3232","65.96","100%","3.43","100%","0%","11.6","23.5","3.9","7.3","9.3","34.3","8.8","9.5","1.5","0.6","3.9","0.2","31"
"*02nf1*","Anthony Davis","LAL","PF,F,C,Flx","5","BBB","30","DEN Sat 5:30PM","3151","57.29","100%","11.52","100%","0%","9.5","17.1","0.3","5.5","6.8","24.9","12.3","3.7","1.1","2.4","2.1","0.0","45"
"*042n7*","Domantas Sabonis","SAC","PF,F,C,Flx","6","BBB","27","","3098","54.35","100%","13.61","100%","0%","8.1","13.1","0.5","3.3","4.8","20.0","13.2","8.5","0.9","0.5","3.3","0.4","53"
"*05uie*","Scottie Barnes","TOR","SG,G,SF,PF,F,Flx","7","Orcas","22","","2722","46.93","100%","57.32","100%","-0.2%","7.5","15.7","1.7","3.4","4.3","20.0","8.2","6.1","1.2","1.5","2.7","0.1","24"
"*001aw*","Kevin Durant","PHO","SF,PF,F,Flx","11","BBB","35","HOU Sat 6:00PM","2622","51.41","100%","11.64","99%","0%","10.1","19.1","2.2","5.5","6.3","28.0","6.7","5.6","0.9","1.3","3.2","0.0","12"
"*0011e*","LeBron James","LAL","SF,PF,F,Flx","8","Jmarr237","39","DEN Sat 5:30PM","2616","51.29","100%","27.48","99%","+0.1%","9.4","18.0","2.1","4.0","5.4","25.0","7.2","7.9","1.3","0.6","3.2","0.1","17"
"*03xmv*","Jayson Tatum","BOS","SF,PF,F,Flx","10","$C/$","25","","2604","48.22","100%","5.5","100%","0%","9.2","19.3","3.1","5.5","6.7","26.9","8.5","4.8","1.1","0.6","2.5","0.0","20"
"*06cch*","Victor Wembanyama","SA","PF,F,C,Flx","9","maxpat01","20","","2580","49.62","100%","23.82","100%","0%","7.6","16.2","1.6","3.9","4.8","20.7","10.1","3.3","1.3","3.3","3.4","0.0","29"
"*04qrk*","Trae Young","ATL","PG,G,Flx","15","Orcas","25","ATL 102<br/>@BKN 114","2510","49.22","100%","14.78","96%","-2.5%","8.2","19.3","3.3","6.6","7.8","26.4","2.7","10.8","1.4","0.2","4.3","0.0","35"
"*05qtv*","Tyrese Haliburton","IND","PG,SG,G,Flx","12","GBRAYERS","24","","2508","54.52","100%","7.04","100%","0%","7.7","15.8","3.1","3.0","3.5","21.5","3.8","11.6","1.1","0.7","2.4","0.0","33"
"*04qsa*","Jalen Brunson","NY","PG,G,Flx","13","BIGFOOTS","27","","2498","45.42","100%","39.69","100%","0%","9.8","20.5","2.7","5.5","6.5","27.7","3.7","6.7","1.0","0.2","2.5","0.0","5"
"*06211*","Chet Holmgren","OKC","PF,F,C,Flx","14","SERP","21","","2437","42.75","100%","44.9","100%","0%","6.5","11.9","1.8","2.4","3.1","17.1","7.7","2.7","0.7","2.6","1.7","0.0","16"
"*05uiq*","Alperen Sengun","HOU","C,Flx","17","GBRAYERS","21","@PHO Sat 6:00PM","2422","43.25","100%","54.99","100%","0%","8.3","15.4","0.6","3.9","5.5","21.0","9.2","4.9","1.1","0.7","2.6","0.0","25"
"*027oz*","Kawhi Leonard","LAC","SG,G,SF,PF,F,Flx","16","BBB","32","","2407","47.2","100%","35.15","99%","+0.1%","9.0","17.0","2.2","3.7","4.2","23.9","6.2","3.7","1.7","0.9","1.7","0.0","3"
"*049kb*","De'Aaron Fox","SAC","PG,G,Flx","22","BIGFOOTS","26","","2358","46.24","100%","28.57","100%","0%","9.8","20.7","2.8","4.5","6.4","26.9","4.2","5.6","1.9","0.4","2.7","0.0","3"
"*05qsq*","Tyrese Maxey","PHI","PG,SG,G,Flx","18","GBRAYERS","23","","2353","45.25","100%","58.52","100%","0%","9.0","20.0","3.0","4.8","5.6","25.8","3.8","6.4","1.0","0.5","1.7","0.0","6"
"*01enh*","Stephen Curry","GS","PG,SG,G,Flx","19","CCC","35","","2328","43.92","100%","8.02","99%","+0.1%","9.1","19.7","4.9","4.6","5.0","27.7","4.2","5.1","0.8","0.4","3.0","0.0","4"
"*05qug*","Anthony Edwards","MIN","SG,G,SF,F,Flx","20","maxpat01","22","","2324","43.04","100%","13","100%","0%","9.1","19.5","2.6","5.5","6.6","26.3","5.4","5.2","1.2","0.5","3.2","0.0","6"
"*04ewe*","Donovan Mitchell","CLE","PG,SG,G,Flx","21","CCC","27","","2322","51.6","100%","16.5","100%","0%","9.7","20.6","3.3","5.4","6.2","28.1","5.4","6.2","1.9","0.5","2.8","0.0","6"
"*03nwm*","Devin Booker","PHO","PG,SG,G,SF,F,Flx","23","SDP","27","HOU Sat 6:00PM","2289","47.69","100%","17.5","100%","0%","9.6","19.3","2.1","6.2","7.0","27.5","4.6","7.0","0.9","0.4","2.6","0.0","10"
"*042nm*","Pascal Siakam","IND","PF,F,C,Flx","26","STARKS","29","","2263","39.7","100%","29.85","99%","-0.1%","8.4","15.8","1.2","3.7","5.1","21.8","6.5","4.8","0.8","0.3","1.9","0.0","7"
"*02nf6*","Damian Lillard","MIL","PG,G,Flx","24","Jmarr237","33","","2247","42.4","100%","12.02","99%","+0.1%","7.4","17.5","2.9","6.9","7.5","24.5","4.3","6.8","1.1","0.2","2.6","0.0","8"
"*03al2*","Joel Embiid","PHI","C,Flx","32","Orcas","29","","2219","65.26","100%","2.81","97%","-0.1%","11.8","22.2","1.2","10.5","11.9","35.3","11.3","5.7","1.1","1.8","3.7","0.1","27"
"*01eo6*","James Harden","LAC","PG,SG,G,Flx","27","Jmarr237","34","","2218","43.49","100%","26.13","99%","0%","5.0","11.4","2.8","4.5","5.1","17.3","5.2","8.3","1.1","0.9","2.6","0.0","16"
"*03ad3*","Karl-Anthony Towns","MIN","PF,F,C,Flx","29","SDP","28","","2213","39.52","100%","22.09","99%","0%","8.0","15.6","2.3","4.3","4.9","22.6","8.5","2.9","0.7","0.7","2.8","0.0","21"
"*01eon*","DeMar DeRozan","CHI","SG,G,SF,PF,F,Flx","25","BBB","34","","2211","40.2","100%","45.94","100%","0%","7.8","16.5","0.9","6.1","7.2","22.6","4.1","5.3","1.1","0.6","1.5","0.0","4"
"*06210*","Paolo Banchero","ORL","SF,PF,F,Flx","30","SERP","21","","2193","38.47","100%","54.69","100%","0%","8.1","17.7","1.5","5.0","7.1","22.7","6.8","5.2","1.0","0.5","3.0","0.0","12"
"*042nq*","Dejounte Murray","ATL","PG,SG,G,Flx","28","SDP","27","ATL 102<br/>@BKN 114","2178","40.33","100%","35.82","100%","0%","8.3","17.7","2.2","2.8","3.4","21.6","5.3","5.5","1.3","0.3","2.3","0.0","8"
"*02xg9*","Rudy Gobert","MIN","C,Flx","31","Jmarr237","31","","2110","38.36","100%","64.03","99%","0%","5.2","8.0","0.0","3.3","5.1","13.7","12.7","1.2","0.6","2.1","1.5","0.0","39"
"*04848*","Fred VanVleet","HOU","PG,G,Flx","36","Jmarr237","30","@PHO Sat 6:00PM","2085","41.7","100%","35.31","99%","+0.1%","5.5","13.4","2.9","2.6","3.0","16.5","3.7","8.0","1.1","0.9","1.7","0.0","15"
"*01uyj*","Paul George","LAC","SF,PF,F,Flx","37","Jmarr237","33","","2083","40.06","100%","36.49","98%","-0.1%","7.8","17.1","3.3","3.3","3.7","22.1","5.3","3.7","1.6","0.4","2.0","0.0","1"
"*027p0*","Nikola Vucevic","CHI","C,Flx","33","BBB","33","","2050","39.42","100%","39.96","100%","0%","7.5","15.9","1.1","1.4","1.7","17.6","10.7","3.4","0.7","0.8","1.5","0.0","31"
"*04ewf*","Bam Adebayo","MIA","C,Flx","38","Jmarr237","26","UTA 26<br/>@MIA 24","2034","43.28","100%","26.53","100%","0%","7.8","15.1","0.0","4.9","6.2","20.5","10.6","4.2","1.1","1.0","2.5","0.0","31"
"*042n1*","Brandon Ingram","NO","SG,G,SF,PF,F,Flx","34","SDP","26","","2017","38.79","100%","51.51","99%","+0.1%","8.0","16.4","1.4","4.0","5.0","21.4","4.9","5.8","0.8","0.6","2.6","0.0","3"
"*04azw*","Lauri Markkanen","UTA","SF,PF,F,Flx","44","STARKS","26","UTA 26<br/>@MIA 24","2007","41.81","100%","28.09","100%","0%","7.9","16.1","3.3","4.3","4.8","23.4","8.5","2.0","0.9","0.5","1.3","0.0","18"
"*051on*","Coby White","CHI","PG,SG,G,Flx","39","$C/$","24","","2003","35.14","63%","149.24","95%","-1.3%","6.9","15.2","2.9","2.8","3.3","19.5","4.7","5.2","0.7","0.2","2.2","0.0","3"
