"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","FGM","FGA","3PTM","FTM","FTA","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","1","CCC","28","OKC Sat 6:00PM","1639","65.56","100%","1.06","100%","0%","10.6","19.5","1.2","4.9","6.2","27.2","12.7","9.4","1.2","0.8","2.7","0.4","22"
"*04kj6*","Luka Doncic","DAL","PG,G,Flx","2","STARKS","24","@POR Sat 6:00PM","1410","61.3","100%","3.42","100%","0%","11.1","22.8","3.8","6.3","8.0","32.3","8.1","9.1","1.3","0.5","4.0","0.2","14"
"*031m2*","Giannis Antetokounmpo","MIL","PF,F,C,Flx","3","BBB","29","DET Sat 3:00PM","1363","59.26","100%","6.41","100%","0%","12.0","19.3","0.4","7.7","11.3","32.0","10.8","5.0","1.5","1.3","3.9","0.0","17"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,SG,G,Flx","4","HBC","25","@DEN Sat 6:00PM","1362","61.91","100%","4.88","100%","0%","11.3","20.7","1.1","7.3","8.0","31.0","5.5","6.4","2.7","0.8","2.0","0.0","3"
"*03al2*","Joel Embiid","PHI","C,Flx","5","Jmarr237","29","@CHA Sat 4:00PM","1358","64.67","100%","2.79","100%","0%","11.1","21.3","1.1","10.5","11.8","33.8","11.5","6.1","1.1","1.9","3.8","0.0","17"
"*02nf1*","Anthony Davis","LAL","PF,F,C,Flx","6","BBB","30","","1330","55.42","100%","11.53","100%","0%","9.0","16.5","0.3","5.8","7.0","23.9","12.5","3.0","1.1","2.6","2.0","0.0","21"
"*05qtv*","Tyrese Haliburton","IND","PG,SG,G,Flx","7","BIGFOOTS","23","@MIN Sat 5:00PM","1266","60.29","100%","6.96","100%","0%","9.0","17.5","3.7","4.0","4.6","25.7","4.1","12.0","0.9","0.7","2.6","0.0","17"
"*0011e*","LeBron James","LAL","SF,PF,F,Flx","8","Jmarr237","38","","1242","51.75","100%","27.76","99%","0%","9.4","17.2","2.3","4.2","5.8","25.2","7.5","7.0","1.5","0.7","3.4","0.0","7"
"*05uie*","Scottie Barnes","TOR","SG,G,SF,PF,F,Flx","9","Orcas","22","","1221","48.84","100%","57.22","100%","0%","7.6","15.6","2.0","3.0","4.0","20.2","8.9","5.7","1.6","1.2","2.4","0.1","11"
"*04qrk*","Trae Young","ATL","PG,G,Flx","10","Orcas","25","@CLE Sat 4:30PM","1108","50.36","100%","14.9","100%","0%","8.6","20.4","3.2","7.2","8.3","27.7","2.9","10.8","1.4","0.1","4.1","0.0","14"
"*03xmv*","Jayson Tatum","BOS","SF,PF,F,Flx","11","VSL","25","","1102","45.92","100%","5.48","100%","0%","9.5","19.6","3.0","5.4","6.8","27.5","8.8","4.2","1.0","0.5","3.2","0.0","10"
"*05qsq*","Tyrese Maxey","PHI","PG,SG,G,Flx","12","GBRAYERS","23","@CHA Sat 4:00PM","1087","47.26","100%","58.81","100%","0%","8.9","19.3","3.1","5.0","5.6","25.8","4.0","6.7","0.8","0.6","1.4","0.0","5"
"*042n7*","Domantas Sabonis","SAC","PF,F,C,Flx","13","BBB","27","UTA Sat 7:00PM","1087","47.26","100%","13.84","100%","0%","7.0","12.4","0.5","3.9","5.8","18.4","12.4","6.9","0.9","0.7","3.0","0.1","19"
"*001aw*","Kevin Durant","PHO","SF,PF,F,Flx","14","SDP","35","","1082","51.52","100%","11.59","99%","0%","10.5","20.3","2.3","7.3","8.3","30.7","6.3","5.6","0.7","1.2","3.4","0.0","4"
"*027oz*","Kawhi Leonard","LAC","SG,G,SF,PF,F,Flx","15","BBB","32","NY Sat 7:30PM","1061","44.21","100%","35.35","99%","+0.1%","8.7","17.2","2.3","3.9","4.5","23.5","5.9","3.5","1.5","0.7","1.5","0.0","0"
"*06cch*","Victor Wembanyama","SA","PF,F,C,Flx","16","maxpat01","19","","1034","44.96","100%","24.39","100%","0%","7.1","16.4","1.4","3.4","4.3","19.0","10.9","2.7","1.3","2.9","3.4","0.0","13"
"*04qsa*","Jalen Brunson","NY","PG,G,Flx","17","HBC","27","@LAC Sat 7:30PM","1026","42.75","100%","39.82","100%","0%","9.0","19.0","3.1","4.4","5.6","25.6","3.8","5.9","1.2","0.0","2.2","0.0","0"
"*05qt3*","Desmond Bane","MEM","SG,G,Flx","18","CCC","25","","1005","43.7","100%","38.88","100%","0%","9.2","19.6","3.3","3.2","3.7","24.9","4.7","5.2","1.3","0.7","3.0","0.0","1"
"*027p0*","Nikola Vucevic","CHI","C,Flx","19","BBB","33","@MIA Sat 5:00PM","975","37.5","100%","40.04","100%","0%","7.1","15.6","1.0","1.5","1.7","16.7","10.6","3.5","0.8","0.7","1.7","0.0","14"
"*04ewe*","Donovan Mitchell","CLE","PG,SG,G,Flx","20","maxpat01","27","ATL Sat 4:30PM","957","47.85","100%","16.46","100%","0%","9.6","21.0","3.0","5.5","6.2","27.6","5.8","5.1","1.9","0.4","2.8","0.0","2"
"*06211*","Chet Holmgren","OKC","PF,F,C,Flx","21","SERP","21","@DEN Sat 6:00PM","951","41.35","100%","44.86","100%","0%","6.0","11.6","1.5","3.3","3.7","16.9","8.0","2.4","0.9","2.4","2.0","0.0","8"
