"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","FGM","FGA","3PTM","FTM","FTA","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","1","CCC","28","@BKN Fri 4:30PM","1800","64.29","100%","1.06","100%","0%","10.3","19.1","1.2","4.8","6.0","26.5","12.4","9.3","1.2","0.8","2.6","0.4","24"
"*03al2*","Joel Embiid","PHI","C,Flx","2","Jmarr237","29","TOR Fri 4:00PM","1598","66.58","100%","2.79","100%","0%","11.8","21.8","1.1","10.5","11.7","35.1","11.8","5.9","1.1","1.9","3.8","0.0","20"
"*04kj6*","Luka Doncic","DAL","PG,G,Flx","3","STARKS","24","@HOU Fri 5:00PM","1596","61.38","100%","3.42","100%","0%","11.2","23.2","3.8","6.4","8.2","32.7","8.4","9.1","1.3","0.5","4.0","0.2","17"
"*031m2*","Giannis Antetokounmpo","MIL","PF,F,C,Flx","4","BBB","29","","1554","57.56","100%","6.37","100%","0%","11.4","18.9","0.4","7.7","11.4","30.9","11.0","5.4","1.4","1.2","3.9","0.1","20"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,SG,G,Flx","5","HBC","25","","1535","61.4","100%","4.9","100%","0%","11.1","20.8","1.0","7.5","8.2","30.7","5.8","6.3","2.8","0.8","2.0","0.0","3"
"*02nf1*","Anthony Davis","LAL","PF,F,C,Flx","6","BBB","30","","1507","55.81","100%","11.53","100%","0%","9.1","16.7","0.3","5.7","7.0","24.3","12.4","3.0","1.1","2.6","1.9","0.0","23"
"*05qtv*","Tyrese Haliburton","IND","PG,SG,G,Flx","7","BIGFOOTS","23","","1374","57.25","100%","6.98","100%","0%","8.5","17.2","3.5","3.8","4.4","24.3","4.0","12.0","0.8","0.6","2.8","0.0","19"
"*0011e*","LeBron James","LAL","SF,PF,F,Flx","8","Jmarr237","38","","1363","52.42","100%","27.71","99%","-0.2%","9.4","17.5","2.2","4.1","5.7","25.2","7.7","7.3","1.5","0.7","3.4","0.1","9"
"*05uie*","Scottie Barnes","TOR","SG,G,SF,PF,F,Flx","9","Orcas","22","@PHI Fri 4:00PM","1335","49.44","100%","57.24","100%","0%","7.8","15.8","2.0","3.1","4.1","20.6","9.2","5.7","1.5","1.3","2.5","0.1","13"
"*04qrk*","Trae Young","ATL","PG,G,Flx","10","Orcas","25","@MIA Fri 5:00PM","1295","51.8","100%","14.88","100%","0%","8.8","20.2","3.5","7.2","8.3","28.2","3.0","11.1","1.3","0.2","4.2","0.0","17"
