ID,Player,Team,Position,RkOv,Status,Age,Opponent,FPts,FP/G,%D,ADP,Ros,+/-,FGM,FGA,3PTM,FTM,FTA,PTS,REB,AST,ST,BLK,TO,3D,2D
*03e75*,Nikola Jokic,DEN,"C,Flx",1,CCC,28,,1383,69.15,100%,1.06,100%,0%,11.3,20.0,1.3,5.0,6.4,28.9,12.8,9.8,1.2,0.8,2.9,0.4,19
*03al2*,Joel Embiid,PHI,"C,Flx",6,Jmarr237,29,,990,61.88,100%,2.78,100%,0%,10.3,20.7,1.1,10.3,11.8,32.0,11.3,6.6,1.0,1.9,3.7,0.1,12
*05qtv*,Tyrese Haliburton,IND,"PG,SG,G,Flx",7,BIGFOOTS,23,,990,61.88,100%,6.91,100%,0%,9.3,17.8,3.9,4.6,5.2,27.0,3.6,11.8,1.1,0.7,2.5,0.0,13
*04qro*,Shai Gilgeous-Alexander,OKC,"PG,SG,G,Flx",3,HHBC,25,,1078,59.89,100%,4.85,100%,0%,10.9,20.2,1.3,6.8,7.3,29.9,5.7,6.3,2.4,0.9,2.2,0.0,3
*04kj6*,Luka Doncic,DAL,"PG,G,Flx",4,STARKS,24,,1070,59.44,100%,3.42,100%,0%,10.8,22.0,3.8,6.0,7.9,31.4,8.4,8.4,1.3,0.5,3.8,0.2,10
*031m2*,Giannis Antetokounmpo,MIL,"PF,F,C,Flx",5,BBB,28,,1061,55.84,100%,6.5,100%,0%,11.5,19.0,0.4,6.5,9.9,29.9,10.8,4.9,1.4,1.4,4.2,0.1,13
*02nf1*,Anthony Davis,LAL,"PF,F,C,Flx",2,BBB,30,,1105,55.25,100%,11.53,100%,0%,8.6,15.8,0.1,5.5,6.5,22.9,12.4,3.3,1.1,2.8,2.1,0.0,17
*049kb*,De'Aaron Fox,SAC,"PG,G,Flx",45,VSL,25,,688,52.92,100%,28.85,100%,0.1%,10.8,22.2,3.1,5.7,7.8,30.3,4.7,6.6,1.6,0.4,2.0,0.0,2
*001aw*,Kevin Durant,PHO,"SF,PF,F,Flx",10,maxpat01,35,,939,52.17,100%,11.57,99%,0%,10.6,20.6,2.2,7.7,8.6,31.0,6.4,5.8,0.8,1.2,3.6,0.0,4
*03nwm*,Devin Booker,PHO,"PG,SG,G,SF,F,Flx",75,maxpat01,27,,558,50.73,100%,17.52,100%,0%,9.1,19.3,2.1,7.6,8.2,27.9,5.8,8.4,0.7,0.5,2.9,0.0,5
*04qrk*,Trae Young,ATL,"PG,G,Flx",11,Orcas,25,,895,49.72,100%,14.94,100%,0%,8.1,19.8,3.1,7.8,9.0,27.1,2.9,10.7,1.6,0.0,3.8,0.0,12
*05qsq*,Tyrese Maxey,PHI,"PG,SG,G,Flx",12,GBRAYERS,23,,894,49.67,100%,58.92,100%,0%,9.4,20.2,3.3,4.9,5.5,27.0,4.6,6.7,0.8,0.7,1.6,0.0,5
*0011e*,LeBron James,LAL,"SF,PF,F,Flx",8,Jmarr237,38,,972,48.6,100%,27.9,99%,0%,9.2,16.6,2.2,3.9,5.7,24.4,7.6,6.3,1.4,0.8,3.6,0.1,5
*05uie*,Scottie Barnes,TOR,"SF,PF,F,Flx",9,Orcas,22,,966,48.3,100%,57.17,100%,0%,7.3,15.7,1.9,3.0,4.0,19.6,9.1,5.5,1.8,1.3,2.3,0.1,8
*04ewe*,Donovan Mitchell,CLE,"PG,SG,G,Flx",32,maxpat01,27,,722,48.13,100%,16.44,100%,0%,9.4,21.0,2.9,5.5,6.1,27.1,5.3,5.2,2.1,0.5,2.5,0.0,1
*042n7*,Domantas Sabonis,SAC,"PF,F,C,Flx",14,BBB,27,,844,46.89,100%,13.95,100%,0%,7.1,12.4,0.6,3.8,5.9,18.6,11.8,6.9,0.8,0.8,3.1,0.1,14
*05qto*,LaMelo Ball,CHA,"PG,SG,G,Flx",39,GBRAYERS,22,,702,46.8,100%,12.9,100%,0%,8.8,19.9,3.5,3.6,4.2,24.7,5.5,8.2,1.4,0.3,3.9,0.1,5
*03xmv*,Jayson Tatum,BOS,"SF,PF,F,Flx",13,VSL,25,,869,45.74,100%,5.47,100%,0%,9.5,19.1,3.1,5.2,6.5,27.4,8.7,4.1,1.1,0.4,3.4,0.0,7
*031lx*,CJ McCollum,NO,"PG,SG,G,Flx",175,BBB,32,,358,44.75,100%,72.07,98%,0.2%,7.4,16.8,2.9,3.5,4.5,21.1,4.5,5.9,1.6,0.9,1.4,0.0,1
