Player,Team,Position,From,To,Date (PST),Period
OG Anunoby,TOR,"SG,G,SF,F,Flx",Beaverton Bigfoot's,Bikini Bottom Ballers,"Fri Dec 1, 2023, 11:52AM",39
Isaiah Stewart,DET,"PF,F,C,Flx",Bikini Bottom Ballers,Beaverton Bigfoot's,"Fri Dec 1, 2023, 11:52AM",39
Christian Braun,DEN,"SG,G,SF,F,Flx",Bikini Bottom Ballers,Beaverton Bigfoot's,"Fri Dec 1, 2023, 11:52AM",39
Devin Booker,PHO,"PG,SG,G,SF,F,Flx",Anacortes Orcas,Santa Barbara Swell,"Wed Nov 29, 2023, 11:22AM",37
Keyonte George,UTA,"PG,SG,G,Flx",Anacortes Orcas,Santa Barbara Swell,"Wed Nov 29, 2023, 11:22AM",37
Scottie Barnes,TOR,"SF,PF,F,Flx",Santa Barbara Swell,Anacortes Orcas,"Wed Nov 29, 2023, 11:22AM",37
Olivier-Maxence Prosper,DAL,"PF,F,Flx",Santa Barbara Swell,Anacortes Orcas,"Wed Nov 29, 2023, 11:22AM",37
Jrue Holiday,BOS,"PG,SG,G,Flx",Malibu Mommy Milkers,Santa Barbara Swell,"Wed Nov 29, 2023, 9:41AM",37
"2024 Draft Pick, Round 1 (Helsinki Hounds)",,,Malibu Mommy Milkers,Santa Barbara Swell,"Wed Nov 29, 2023, 9:41AM",37
"2025 Draft Pick, Round 3 (Santa Barbara Swell)",,,Santa Barbara Swell,Malibu Mommy Milkers,"Wed Nov 29, 2023, 9:41AM",37
Jaylen Brown,BOS,"SG,G,SF,F,Flx",Santa Barbara Swell,Malibu Mommy Milkers,"Wed Nov 29, 2023, 9:41AM",37
Deandre Ayton,POR,"C,Flx",Helsinki Hounds,Malibu Mommy Milkers,"Fri Nov 17, 2023, 5:36PM",26
"2024 Draft Pick, Round 1 (Helsinki Hounds)",,,Helsinki Hounds,Malibu Mommy Milkers,"Fri Nov 17, 2023, 5:36PM",26
Rudy Gobert,MIN,"C,Flx",Malibu Mommy Milkers,Helsinki Hounds,"Fri Nov 17, 2023, 5:36PM",26
"2024 Draft Pick, Round 2 (Winterfell Starks)",,,Malibu Mommy Milkers,Helsinki Hounds,"Fri Nov 17, 2023, 5:36PM",26
Bruce Brown,IND,"PG,SG,G,SF,F,Flx",Beaverton Bigfoot's,Bikini Bottom Ballers,"Sat Nov 11, 2023, 2:23PM",19
Donte DiVincenzo,NY,"SG,G,Flx",Bikini Bottom Ballers,Beaverton Bigfoot's,"Sat Nov 11, 2023, 2:23PM",19
Skylar Mays,POR,"SG,G,Flx",Bikini Bottom Ballers,Beaverton Bigfoot's,"Sat Nov 11, 2023, 2:23PM",19
Mike Conley,MIN,"PG,G,Flx",Bikini Bottom Ballers,Santa Barbara Swell,"Tue Nov 7, 2023, 9:49AM",15
Christian Braun,DEN,"SG,G,SF,F,Flx",Santa Barbara Swell,Bikini Bottom Ballers,"Tue Nov 7, 2023, 9:49AM",15
Kristaps Porzingis,BOS,"PF,F,C,Flx",Malibu Mommy Milkers,Winterfell Starks,"Mon Nov 6, 2023, 6:05PM",15
"2024 Draft Pick, Round 2 (Winterfell Starks)",,,Winterfell Starks,Malibu Mommy Milkers,"Mon Nov 6, 2023, 6:05PM",15
LeBron James,LAL,"SF,PF,F,Flx",Winterfell Starks,Malibu Mommy Milkers,"Mon Nov 6, 2023, 6:05PM",15
"2025 Draft Pick, Round 3 (Winterfell Starks)",,,Winterfell Starks,Malibu Mommy Milkers,"Mon Nov 6, 2023, 6:05PM",15
Markelle Fultz,ORL,"PG,SG,G,Flx",Beaverton Bigfoot's,Winterfell Starks,"Mon Nov 6, 2023, 4:36PM",15
Jonas Valanciunas,NO,"C,Flx",Beaverton Bigfoot's,Winterfell Starks,"Mon Nov 6, 2023, 4:36PM",15
"2024 Draft Pick, Round 1 (Santa Barbara Swell)",,,Beaverton Bigfoot's,Winterfell Starks,"Mon Nov 6, 2023, 4:36PM",15
Herbert Jones,NO,"SF,PF,F,Flx",Winterfell Starks,Beaverton Bigfoot's,"Mon Nov 6, 2023, 4:36PM",15
"2025 Draft Pick, Round 2 (Winterfell Starks)",,,Winterfell Starks,Beaverton Bigfoot's,"Mon Nov 6, 2023, 4:36PM",15
Toumani Camara,POR,"PF,F,Flx",Winterfell Starks,Beaverton Bigfoot's,"Mon Nov 6, 2023, 4:36PM",15
"2026 Draft Pick, Round 1 (Santa Barbara Swell)",,,San Diego Pilots,Santa Barbara Swell,"Mon Nov 6, 2023, 8:41AM",1
"2026 Draft Pick, Round 1 (San Diego Pilots)",,,Santa Barbara Swell,San Diego Pilots,"Mon Nov 6, 2023, 8:41AM",1
"2026 Draft Pick, Round 1 (Santa Barbara Swell)",,,Malibu Mommy Milkers,San Diego Pilots,"Mon Nov 6, 2023, 7:06AM",1
"2026 Draft Pick, Round 1 (Malibu Mommy Milkers)",,,San Diego Pilots,Malibu Mommy Milkers,"Mon Nov 6, 2023, 7:06AM",1
"2026 Draft Pick, Round 1 (Malibu Mommy Milkers)",,,Malibu Mommy Milkers,San Diego Pilots,"Mon Nov 6, 2023, 7:04AM",14
Aleksandar Vezenkov,SAC,"PF,F,Flx",Malibu Mommy Milkers,San Diego Pilots,"Mon Nov 6, 2023, 7:04AM",14
Spencer Dinwiddie,BKN,"PG,SG,G,Flx",San Diego Pilots,Malibu Mommy Milkers,"Mon Nov 6, 2023, 7:04AM",14
Clint Capela,ATL,"C,Flx",San Diego Pilots,Malibu Mommy Milkers,"Mon Nov 6, 2023, 7:04AM",14
Caris LeVert,CLE,"SG,G,SF,F,Flx",San Diego Pilots,Malibu Mommy Milkers,"Mon Nov 6, 2023, 7:04AM",14
"2026 Draft Pick, Round 1 (San Diego Pilots)",,,San Diego Pilots,Santa Barbara Swell,"Mon Nov 6, 2023, 6:49AM",14
Paul George,LAC,"SF,PF,F,Flx",San Diego Pilots,Santa Barbara Swell,"Mon Nov 6, 2023, 6:49AM",14
Amen Thompson,HOU,"SF,F,Flx",Santa Barbara Swell,San Diego Pilots,"Mon Nov 6, 2023, 6:49AM",14
Jrue Holiday,BOS,"PG,SG,G,Flx",Beaverton Bigfoot's,Malibu Mommy Milkers,"Sun Nov 5, 2023, 4:03PM",14
Myles Turner,IND,"C,Flx",Beaverton Bigfoot's,Malibu Mommy Milkers,"Sun Nov 5, 2023, 4:03PM",14
Nicolas Claxton,BKN,"C,Flx",Malibu Mommy Milkers,Beaverton Bigfoot's,"Sun Nov 5, 2023, 4:03PM",14
"2024 Draft Pick, Round 1 (Santa Barbara Swell)",,,Malibu Mommy Milkers,Beaverton Bigfoot's,"Sun Nov 5, 2023, 4:03PM",14
"2025 Draft Pick, Round 2 (Malibu Mommy Milkers)",,,Malibu Mommy Milkers,Beaverton Bigfoot's,"Sun Nov 5, 2023, 4:03PM",14
Donovan Mitchell,CLE,"PG,SG,G,Flx",Malibu Mommy Milkers,Santa Barbara Swell,"Sun Nov 5, 2023, 4:00PM",14
Austin Reaves,LAL,"SG,G,SF,F,Flx",Santa Barbara Swell,Malibu Mommy Milkers,"Sun Nov 5, 2023, 4:00PM",14
"2026 Draft Pick, Round 1 (Santa Barbara Swell)",,,Santa Barbara Swell,Malibu Mommy Milkers,"Sun Nov 5, 2023, 4:00PM",14
"2024 Draft Pick, Round 1 (Santa Barbara Swell)",,,Santa Barbara Swell,Malibu Mommy Milkers,"Sun Nov 5, 2023, 4:00PM",14
Kristaps Porzingis,BOS,"PF,F,C,Flx",Santa Barbara Swell,Malibu Mommy Milkers,"Sun Nov 5, 2023, 4:00PM",14
"2024 Draft Pick, Round 1 (Malibu Mommy Milkers)",,,Beaverton Bigfoot's,Malibu Mommy Milkers,"Sun Nov 5, 2023, 11:07AM",13
"2026 Draft Pick, Round 1 (Malibu Mommy Milkers)",,,Beaverton Bigfoot's,Malibu Mommy Milkers,"Sun Nov 5, 2023, 11:07AM",13
Nicolas Claxton,BKN,"C,Flx",Beaverton Bigfoot's,Malibu Mommy Milkers,"Sun Nov 5, 2023, 11:07AM",13
"2025 Draft Pick, Round 2 (Malibu Mommy Milkers)",,,Beaverton Bigfoot's,Malibu Mommy Milkers,"Sun Nov 5, 2023, 11:07AM",13
Myles Turner,IND,"C,Flx",Malibu Mommy Milkers,Beaverton Bigfoot's,"Sun Nov 5, 2023, 11:07AM",13
Jrue Holiday,BOS,"PG,SG,G,Flx",Malibu Mommy Milkers,Beaverton Bigfoot's,"Sun Nov 5, 2023, 11:07AM",13
"2025 Draft Pick, Round 1 (Beaverton Bigfoot's)",,,Malibu Mommy Milkers,Beaverton Bigfoot's,"Sun Nov 5, 2023, 11:07AM",13
"2024 Draft Pick, Round 2 (Beaverton Bigfoot's)",,,Malibu Mommy Milkers,Beaverton Bigfoot's,"Sun Nov 5, 2023, 11:07AM",13
"2024 Draft Pick, Round 3 (San Diego Pilots)",,,San Diego Pilots,Santa Barbara Swell,"Sun Nov 5, 2023, 9:39AM",13
Zach Collins,SA,"PF,F,C,Flx",San Diego Pilots,Santa Barbara Swell,"Sun Nov 5, 2023, 9:39AM",13
Jaden Ivey,DET,"PG,SG,G,Flx",Santa Barbara Swell,San Diego Pilots,"Sun Nov 5, 2023, 9:39AM",13
Myles Turner,IND,"C,Flx",Beaverton Bigfoot's,Malibu Mommy Milkers,"Sat Nov 4, 2023, 3:39PM",13
"2024 Draft Pick, Round 2 (Beaverton Bigfoot's)",,,Beaverton Bigfoot's,Malibu Mommy Milkers,"Sat Nov 4, 2023, 3:39PM",13
"2025 Draft Pick, Round 1 (Beaverton Bigfoot's)",,,Beaverton Bigfoot's,Malibu Mommy Milkers,"Sat Nov 4, 2023, 3:39PM",13
Jrue Holiday,BOS,"PG,SG,G,Flx",Beaverton Bigfoot's,Malibu Mommy Milkers,"Sat Nov 4, 2023, 3:39PM",13
"2026 Draft Pick, Round 1 (Malibu Mommy Milkers)",,,Malibu Mommy Milkers,Beaverton Bigfoot's,"Sat Nov 4, 2023, 3:39PM",13
Nicolas Claxton,BKN,"C,Flx",Malibu Mommy Milkers,Beaverton Bigfoot's,"Sat Nov 4, 2023, 3:39PM",13
"2025 Draft Pick, Round 2 (Malibu Mommy Milkers)",,,Malibu Mommy Milkers,Beaverton Bigfoot's,"Sat Nov 4, 2023, 3:39PM",13
"2024 Draft Pick, Round 1 (Malibu Mommy Milkers)",,,Malibu Mommy Milkers,Beaverton Bigfoot's,"Sat Nov 4, 2023, 3:39PM",13
"2024 Draft Pick, Round 1 (Vancouver Sea Lions)",,,Malibu Mommy Milkers,Vancouver Sea Lions,"Sat Nov 4, 2023, 11:09AM",13
Rudy Gobert,MIN,"C,Flx",Vancouver Sea Lions,Malibu Mommy Milkers,"Sat Nov 4, 2023, 11:09AM",13
Evan Mobley,CLE,"PF,F,C,Flx",Helsinki Hounds,San Diego Pilots,"Mon Oct 30, 2023, 3:50PM",7
Keegan Murray,SAC,"SF,F,Flx",Helsinki Hounds,San Diego Pilots,"Mon Oct 30, 2023, 3:50PM",7
Tyler Herro,MIA,"PG,SG,G,Flx",San Diego Pilots,Helsinki Hounds,"Mon Oct 30, 2023, 3:50PM",7
Lauri Markkanen,UTA,"SF,PF,F,Flx",San Diego Pilots,Helsinki Hounds,"Mon Oct 30, 2023, 3:50PM",7
De'Aaron Fox,SAC,"PG,G,Flx",Malibu Mommy Milkers,Vancouver Sea Lions,"Sat Oct 28, 2023, 7:56PM",6
Gradey Dick,TOR,"SG,G,Flx",Malibu Mommy Milkers,Vancouver Sea Lions,"Sat Oct 28, 2023, 7:56PM",6
Damian Lillard,MIL,"PG,G,Flx",Vancouver Sea Lions,Malibu Mommy Milkers,"Sat Oct 28, 2023, 7:56PM",6
"2024 Draft Pick, Round 1 (Vancouver Sea Lions)",,,Vancouver Sea Lions,Malibu Mommy Milkers,"Sat Oct 28, 2023, 7:56PM",6
"2024 Draft Pick, Round 2 (Malibu Mommy Milkers)",,,Malibu Mommy Milkers,Anacortes Orcas,"Tue Sep 26, 2023, 10:28AM",1
"2025 Draft Pick, Round 1 (Malibu Mommy Milkers)",,,Malibu Mommy Milkers,Anacortes Orcas,"Tue Sep 26, 2023, 10:28AM",1
James Harden,LAC,"PG,SG,G,Flx",Anacortes Orcas,Malibu Mommy Milkers,"Sat Sep 23, 2023, 9:09PM",1
Jordan Poole,WAS,"PG,SG,G,Flx",Malibu Mommy Milkers,Anacortes Orcas,"Sat Sep 23, 2023, 9:09PM",1
Dejounte Murray,ATL,"PG,SG,G,Flx",Beaverton Bigfoot's,Winterfell Starks,"Sat Sep 23, 2023, 9:08PM",1
Zion Williamson,NO,"PF,F,Flx",Beaverton Bigfoot's,Winterfell Starks,"Sat Sep 23, 2023, 9:08PM",1
OG Anunoby,TOR,"SG,G,SF,F,Flx",Winterfell Starks,Beaverton Bigfoot's,"Sat Sep 23, 2023, 9:08PM",1
Scoot Henderson,POR,"PG,G,Flx",Winterfell Starks,Beaverton Bigfoot's,"Sat Sep 23, 2023, 9:08PM",1
Domantas Sabonis,SAC,"PF,F,C,Flx",Anacortes Orcas,Bikini Bottom Ballers,"Sat Sep 23, 2023, 9:08PM",1
Kyrie Irving,DAL,"PG,SG,G,Flx",Anacortes Orcas,Bikini Bottom Ballers,"Sat Sep 23, 2023, 9:08PM",1
DeMar DeRozan,CHI,"SG,G,SF,PF,F,Flx",Anacortes Orcas,Bikini Bottom Ballers,"Sat Sep 23, 2023, 9:08PM",1
Devin Booker,PHO,"PG,SG,G,SF,F,Flx",Bikini Bottom Ballers,Anacortes Orcas,"Sat Sep 23, 2023, 9:08PM",1
Jarrett Allen,CLE,"C,Flx",Bikini Bottom Ballers,Anacortes Orcas,"Sat Sep 23, 2023, 9:08PM",1
James Harden,LAC,"PG,SG,G,Flx",Bikini Bottom Ballers,Anacortes Orcas,"Sat Sep 23, 2023, 9:08PM",1
Tobias Harris,PHI,"SF,PF,F,Flx",Beaverton Bigfoot's,Lincoln Knights,"Sat Sep 23, 2023, 9:07PM",1
Deni Avdija,WAS,"SF,PF,F,Flx",Beaverton Bigfoot's,Lincoln Knights,"Sat Sep 23, 2023, 9:07PM",1
Josh Hart,NY,"SG,G,SF,F,Flx",Lincoln Knights,Beaverton Bigfoot's,"Sat Sep 23, 2023, 9:07PM",1
Collin Sexton,UTA,"PG,SG,G,Flx",Lincoln Knights,Beaverton Bigfoot's,"Sat Sep 23, 2023, 9:07PM",1
"2023 Draft Pick, Round 4 Pick 7",,,Malibu Mommy Milkers,Santa Barbara Swell,"Sat Sep 23, 2023, 2:41PM",1
"2023 Draft Pick, Round 6 Pick 7",,,Malibu Mommy Milkers,Santa Barbara Swell,"Sat Sep 23, 2023, 2:39PM",1
"2023 Draft Pick, Round 3 Pick 6",,,Malibu Mommy Milkers,Santa Barbara Swell,"Sat Sep 23, 2023, 2:39PM",1
"2023 Draft Pick, Round 6 Pick 3",,,Santa Barbara Swell,Malibu Mommy Milkers,"Sat Sep 23, 2023, 2:38PM",1
"2023 Draft Pick, Round 5 Pick 10",,,Santa Barbara Swell,Malibu Mommy Milkers,"Sat Sep 23, 2023, 2:38PM",1
"2023 Draft Pick, Round 2 Pick 10",,,Santa Barbara Swell,Malibu Mommy Milkers,"Sat Sep 23, 2023, 2:38PM",1
